Site,UTM N,UTM E,2015 Start Date,2015 End Date,Rabbits 2013/2014,,,,,,,,,,,,,,,,Rabbits 2015,,,,,,,,,,,,,,,,,Cats 2013/2014,,,,,,,,,,,,,,,,Cats 2015,,,,,,,,,,,,,,,,year_2013,dist_cam_z,Total CatCaps_2013_14,CatIndividuals_2013_14,Total CatCaps_2015,CatIndividuals_2015,RabbitPresence_2013_14,HumanTrail,Rabbitat,Rabbitat_buff,HumanTrail,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z
Fs025,2731841.59,462167.1928,3/29/15,4/13/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS025,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1.27,0,0,0,0,0,0,1,1,0,0.31,0.4,0.37,-0.77,0,0,0,Pineland,0,0,1,0.38,1.81
Fs026,2731783.416,461526.3626,3/29/15,4/13/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS026,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.65,0,0,0,0,0,0,0,0,0,0.03,-0.34,0.18,-0.46,0,0,0,Pineland,0,0,1,1.84,1.47
Fs027,2731817.246,460770.8987,3/27/15,4/11/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.,FS027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,1.06,0,0,0,0,1,0,1,1,0,0.6,1.13,0.55,0.37,0,0,0,Pineland,0,0,1,1.84,-0.86
FS028,2732145.355,462069.5097,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.87,0,0,0,0,0,0,0,0,0,0.7,0.29,0.91,-1.21,0,1,1,Pineland,0,0,1,0.38,1.62
Fs030,2733196.58,460915.0168,4/30/15,5/15/15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,.,FS030,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,.,0,0,0,0,1,0,0,0,0,0.22,1.61,0.11,0.38,0,0,0,Pineland,0,0,1,1.84,0.11
Fs031,2733258.349,461227.9056,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.04,0,0,0,0,0,0,0,0,0,-0.2,0.97,0.44,0.12,0,0,0,Pineland,0,0,1,0.51,1.28
Fs032,2733187.621,461839.2445,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS032,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.65,0,0,0,0,0,0,0,0,1,-0.03,-0.38,1.42,-0.37,0,0,0,Pineland,0,0,1,0.51,1
Fs034,2733567.466,460810.8208,4/30/15,5/15/15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,.,FS034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,.,0,0,0,0,1,0,1,0,0,-0.38,1.38,-0.45,0.83,0,0,0,Freshwater Wetland,1,0,0,-0.78,-0.8
Fs039,2732895.06,461726.3587,3/27/15,4/11/15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,FS039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.94,0,0,0,0,1,0,1,0,0,0.7,0.69,1.49,-0.69,0,0,0,Freshwater Wetland,1,0,0,-1.38,-0.82
Fs040,2732751.613,461602.4776,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS040,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.44,0,0,0,0,0,0,0,0,0,0.19,0.21,1.47,-0.73,0,0,0,Pineland,0,0,1,0.51,1.58
Fs041,2733986.138,460642.2439,3/26/15,4/10/15,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,.,FS041,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.39,0,0,0,0,1,0,1,0,1,-0.57,-1.01,-0.9,1.4,1,0,1,Freshwater Wetland,1,0,0,-0.78,-0.86
Fs042,2733885.682,460416.6947,4/30/15,5/15/15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,FS042,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,.,0,0,0,0,1,0,1,0,0,0,-0.48,-1.29,1.53,1,0,1,Freshwater Wetland,1,0,0,-0.78,-1.17
FS044,2731796.613,461785.1194,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS044,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.39,0,0,0,0,0,0,0,0,0,0.03,-0.08,0.29,-0.66,0,0,0,Pineland,0,0,1,1.84,2.23
FS047,2732215.906,462243.7909,3/29/15,4/13/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS047,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.79,0,0,0,0,0,0,1,1,0,0.2,-0.14,1.02,-1.16,0,1,1,Pineland,0,0,1,0.38,0.61
Fs052,2732222.193,460958.893,3/27/15,4/11/15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.,1,0.51,1,1,1,1,0,0,1,0,1,0.68,0.06,1.05,-0.03,0,0,0,Freshwater Wetland,1,0,0,-1.12,-0.92
Fs053,2732474.393,461217.2255,3/29/15,4/13/15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.04,0,0,0,0,0,0,0,0,0,-0.48,-0.79,1.38,-0.4,0,0,0,Pineland,0,0,1,1.84,0.58
Fs054,2732375.753,460710.2462,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS054,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,.,1,-0.11,7,2,7,2,0,1,0,0,1,1.95,1.59,1.17,0.28,0,0,0,Hammock,0,0,1,-0.71,0.54
Fs055,2733759.867,461224.6035,3/28/15,4/12/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.3,0,0,0,0,0,0,1,1,0,1.38,1.68,0.11,0.69,0,0,0,Hammock,0,0,1,-1.21,-0.89
Fs057,2731344.039,460911.033,4/12/15,4/27/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.65,0,0,0,0,0,0,1,0,0,1.04,2.08,-0.26,0.57,0,0,0,Buttonwood,0,1,0,-1.09,-1.05
Fs058,2730812.712,462474.0947,4/13/15,4/28/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,-0.73,0,0,0,0,0,0,0,0,0,-0.61,-0.72,-1.14,0.71,1,0,1,Pineland,0,0,1,-1.01,0.88
FS059,2731294.945,461453.9788,4/29/15,5/14/15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,FS059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,0.03,0,0,0,0,0,1,1,0,1,-0.18,-0.54,-0.66,0.15,0,0,0,Scrub Mangrove,0,1,0,-1.31,-1.76
Fs066,2731026.122,463214.2451,4/12/15,4/27/15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,.,FS066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.,1,-0.73,1,1,1,1,1,0,1,0,1,-0.89,0.41,-0.19,0.7,0,0,0,Freshwater Wetland,1,0,0,0.18,-1.12
