year_2013,North,dist_cam_z,Catsyear1,Capturesyear1,Individualsyear1,Capturesyear2,Individualsyear2,twoyear_indchange,twoyear_capschange,capchange_z,RabbitPresence,HumanTrail,Rabbitat,Rabbitat_buff,dist_rd_z,dist_dev_z,dist_cat2014_z,dist_cat2015_z,bin_2014cat,bin_2015cat,bin_20142015,DESCRIPTION,freshwater,salt_button,upland,hectares_z,LiDar_z,Sum_Cats,Min_Cats,Max_Cats,Sum_Captur,Min_Captur,Max_Captur,Sum_Indivi
1,1,0.511065007,0,0,0,1,1,1,1,0.665577342,0,0,1,0,0.678733004,0.057845076,1.050338785,-0.032444597,0,0,0,Freshwater Wetland,1,0,0,-1.124267424,-0.924814358,2,0,1,3,0,2,3
1,1,-0.042185339,0,0,0,0,0,0,0,0.302469136,0,0,0,0,-0.478295284,-0.794155585,1.37915429,-0.396538324,0,0,0,Pineland,0,0,1,1.835221913,0.584155959,1,0,1,2,0,2,2
1,1,-0.111341632,1,5,2,7,2,0,2,1.028685548,0,1,0,0,1.954055715,1.590942569,1.171707465,0.283192646,0,0,0,Hammock,0,0,1,-0.706817918,0.535758616,1,0,1,5,0,5,2
1,1,0.303596127,0,0,0,0,0,0,0,0.302469136,0,0,1,1,1.377775934,1.675212401,0.10569467,0.692911924,0,0,0,Hammock,0,0,1,-1.213738819,-0.892843206,0,0,0,0,0,0,0
1,0,0.649377593,0,0,0,0,0,0,0,0.302469136,0,0,1,0,1.040471712,2.076020831,-0.256917078,0.572683006,0,0,0,Buttonwood,0,1,0,-1.090997241,-1.045223162,0,0,0,0,0,0,0
1,0,-0.733748271,1,1,1,0,0,-1,-1,-0.06063907,0,0,0,0,-0.605408153,-0.724229469,-1.137566956,0.70957075,1,0,1,Pineland,0,0,1,-1.013866248,0.876262538,1,1,1,1,1,1,1
1,0,0.026970954,1,1,1,0,0,-1,-1,-0.06063907,0,1,1,0,-0.181715473,-0.536969722,-0.662274572,0.148701246,0,0,0,Scrub Mangrove,0,1,0,-1.305453513,-1.76043626,1,1,1,1,1,1,1
1,0,-0.733748271,0,0,0,1,1,1,1,0.665577342,1,0,1,0,-0.89143153,0.409883839,-0.185450315,0.704565542,0,0,0,Freshwater Wetland,1,0,0,0.184239574,-1.119367785,1,0,1,3,0,3,2
1,0,-1.425311203,1,1,1,2,2,1,1,0.665577342,1,0,1,0,-0.822560301,-1.130907715,-0.385910996,0.168432588,0,0,0,Freshwater Wetland,1,0,0,-0.034015123,-1.236173724,2,0,1,10,0,9,3
1,0,1.617565698,1,5,4,0,0,-4,-5,-1.513071895,1,0,1,0,-0.85285293,-0.845066432,-1.567439856,-0.380738355,1,0,1,Freshwater Wetland,1,0,0,0.184239574,-0.771869325,1,0,1,5,0,5,4
1,0,-1.632780083,1,5,2,0,0,-2,-5,-1.513071895,0,0,1,0,-0.576927541,-0.929990895,-1.148351839,-0.367220019,1,0,1,Freshwater Wetland,1,0,0,0.184239574,-0.438190878,1,1,1,5,5,5,2
1,0,-1.494467497,0,0,0,0,0,0,0,0.302469136,1,0,1,0,-0.647837095,-0.952796506,-1.136512638,-0.824983949,1,0,1,Freshwater Wetland,1,0,0,0.184239574,-0.66296675,0,0,0,0,0,0,0
1,0,0.511065007,0,0,0,0,0,0,0,0.302469136,0,0,1,0,-0.56480625,-0.758909142,-0.617901729,-0.407355973,0,0,0,Freshwater Wetland,1,0,0,-0.034015123,-0.669721569,1,0,1,1,0,1,1
1,0,-1.010373444,1,4,2,0,0,-2,-4,-1.149963689,1,0,1,0,-0.734476347,-0.31112896,-1.518404852,-1.194024395,1,1,1,Freshwater Wetland,1,0,0,0.184239574,-1.22756569,2,1,1,7,3,4,4
1,0,-0.595435685,0,0,0,0,0,0,0,0.302469136,1,0,1,0,-0.718285756,-0.009499922,-1.06425606,0.009816289,1,0,1,Freshwater Wetland,1,0,0,0.184239574,-1.025256255,1,0,1,4,0,4,3
1,0,0.37275242,1,1,1,0,0,-1,-1,-0.06063907,0,0,0,0,-0.677131556,-1.011742764,0.074458324,-0.504530372,0,0,0,Pineland,0,0,1,1.835221913,2.328441027,1,1,1,1,1,1,1
1,0,-3.638312586,1,1,1,1,1,0,0,0.302469136,0,0,1,0,-0.514778282,-0.544906717,-0.803735618,-1.045546995,1,1,1,Freshwater Wetland,1,0,0,-0.034015123,-1.165276271,1,1,1,1,1,1,1
1,0,-1.14868603,1,1,1,0,0,-1,-1,-0.06063907,0,0,1,1,-0.696025854,-0.964208939,-1.137674182,-0.385207757,1,0,1,Pineland,0,0,1,-1.489973157,-0.579534723,1,1,1,1,1,1,1
1,0,-3.638312586,1,3,2,2,2,0,-1,-0.06063907,0,0,0,0,-0.792160999,-0.846623442,-0.618274211,0.065866122,0,0,0,Pineland,0,0,1,-1.224197064,-0.06808293,1,1,1,3,3,3,2
0,1,-0.318810512,1,2,2,1,1,-1,-1,-0.06063907,0,0,1,0,-0.537040229,-0.959853168,0.607182654,3.041307326,0,0,0,Buttonwood,0,1,0,-1.275685204,-0.419101523,1,1,1,1,1,1,1
0,1,-1.425311203,0,0,0,3,1,1,3,1.391793755,0,0,1,0,0.150545079,-0.489894971,-0.233777705,2.32745745,0,0,0,Freshwater Wetland,1,0,0,-0.952063594,-0.467675127,1,1,1,1,1,1,1
0,1,-0.111341632,1,3,2,3,2,0,0,0.302469136,1,1,1,0,1.035784004,2.237400327,-0.037232723,0.612400934,0,0,0,Freshwater Wetland,1,0,0,-0.577409895,-0.198515228,0,0,0,0,0,0,0
0,1,-0.111341632,1,4,2,1,1,-1,-3,-0.786855483,0,0,0,0,-0.194634944,-0.689816445,1.51371448,-1.285849175,0,1,1,Pineland,0,0,1,0.542426349,0.686451777,2,1,1,4,1,3,2
0,1,0.441908714,1,1,1,3,2,1,2,1.028685548,0,1,0,0,-0.434663315,0.057931417,1.529316197,-1.094722505,0,1,1,Pineland,0,0,1,0.542426349,1.961588832,0,0,0,0,0,0,0
0,1,0,1,2,2,4,3,1,2,1.028685548,0,1,0,0,0.846457373,0.378547961,1.448041592,-0.079782591,0,0,0,Pineland,0,0,1,1.95214479,0.585373096,0,0,0,0,0,0,0
0,1,0,1,2,2,3,2,0,1,0.665577342,1,1,1,1,2.261405795,1.255087158,1.103787621,0.246739434,0,0,0,Pineland,0,0,1,1.95214479,-0.09201269,1,0,1,1,0,1,1
0,1,1.825034578,1,1,1,2,2,1,1,0.665577342,0,1,0,0,-0.397060043,0.381766951,0.688534605,-0.736800875,0,0,0,Pineland,0,0,1,0.542426349,2.648109137,1,1,1,2,2,2,1
0,1,-1.010373444,1,13,4,5,2,-2,-8,-2.602396514,0,0,1,1,-0.367038379,-0.848952659,2.20132069,1.603162585,0,0,0,Hammock,0,0,1,-1.176407286,-0.689690355,3,1,1,39,5,24,7
0,0,1.617565698,1,6,2,3,1,-1,-3,-0.786855483,0,0,1,1,-0.291171341,-0.570488767,1.825030384,1.31621216,0,0,0,Hammock,0,0,1,-1.176407286,-0.019319797,3,1,1,39,5,24,7
0,0,-0.042185339,1,10,4,1,1,-3,-9,-2.96550472,0,0,1,1,-0.369877338,-0.979752008,0.272445514,0.290698722,0,0,0,Exotic,0,0,1,-1.282744728,0.134873096,1,1,1,12,12,12,4
0,0,0.995159059,1,1,1,0,0,-1,-1,-0.06063907,0,1,1,0,-0.636736604,1.218416084,0.270114101,0.641401634,0,0,0,Buttonwood,0,1,0,-1.075185661,-1.222050761,2,0,1,4,0,3,3
0,0,-0.249654219,1,1,1,3,1,0,2,1.028685548,0,1,1,0,-0.623679552,1.61793338,0.584260897,0.427817132,0,0,0,Buttonwood,0,1,0,-1.075185661,-0.647814721,3,1,1,8,1,4,6
0,0,-0.387966805,0,0,0,1,1,1,1,0.665577342,0,1,1,1,-0.638325197,0.713878897,0.548453764,0.179095254,0,0,0,Hammock,0,0,1,-1.130410908,-0.379758883,2,1,1,5,1,4,4
0,0,2.654910097,0,0,0,2,2,2,2,1.028685548,0,0,0,0,0.104103897,-0.592763827,-0.319062085,-0.047341643,0,0,0,Pineland,0,0,1,1.95214479,2.104865482,0,0,0,0,0,0,0
0,0,-0.733748271,1,1,1,0,0,-1,-1,-0.06063907,1,0,1,1,-0.359728463,-0.822518895,0.065560021,-0.224114407,0,0,0,Pineland,0,0,1,1.95214479,-0.614736041,2,1,1,4,1,3,3
0,0,0.511065007,1,5,3,0,0,-3,-5,-1.513071895,0,0,1,1,0.600683854,0.2164027,-1.215883525,0.626925225,1,0,1,Pineland,0,0,1,-0.802745098,1.244979695,3,0,1,11,0,4,9
0,0,-0.872060858,0,0,0,0,0,0,0,0.302469136,1,0,1,0,-0.255936888,-0.745337229,-0.705298647,0.241883879,1,0,1,Freshwater Wetland,1,0,0,0.144709387,-1.263063452,2,0,1,13,0,9,5
0,0,-0.733748271,1,3,2,6,2,0,3,1.391793755,1,0,1,0,-0.063920096,-0.470832203,-0.357757332,0.059706272,0,0,0,Freshwater Wetland,1,0,0,0.144709387,-1.109058376,4,0,1,16,0,9,8
0,0,0,1,1,1,0,0,-1,-1,-0.06063907,0,1,1,0,-0.336413581,0.342559371,0.19258977,-0.407958135,0,0,0,Buttonwood,0,1,0,-1.154220749,-0.967060914,1,0,1,1,0,1,1
0,0,-0.180497925,1,1,1,7,2,1,6,2.481118373,1,1,1,0,-0.690485267,-0.404890554,-1.331862998,-0.993613184,1,1,1,Freshwater Wetland,1,0,0,0.355747999,-0.505883249,2,0,1,8,0,6,4
0,0,-0.249654219,1,1,1,2,1,0,1,0.665577342,1,0,1,0,-0.550933419,-0.289384552,-0.825095446,0.090388154,1,0,1,Freshwater Wetland,1,0,0,0.355747999,-0.954383249,1,0,1,4,0,4,3
0,0,-1.079529737,1,1,1,0,0,-1,-1,-0.06063907,1,1,1,0,-0.668903073,0.182014077,-0.726900128,0.050299255,1,0,1,Freshwater Wetland,1,0,0,0.144709387,-0.923583756,0,0,0,0,0,0,0
0,0,0.37275242,1,15,5,16,7,2,1,0.665577342,0,0,0,0,-0.327678982,-0.702642978,-0.494646817,-0.730561896,0,0,0,Pineland,0,0,1,0.190885176,0.991812183,0,0,0,0,0,0,0
0,0,-0.941217151,1,4,3,0,0,-3,-4,-1.149963689,0,0,1,1,-0.243738686,-0.592287936,-1.08763131,-1.117059288,1,1,1,Pineland,0,0,1,0.190885176,0.157175127,0,0,0,0,0,0,0
0,0,-0.802904564,1,4,3,10,4,1,6,2.481118373,0,0,0,0,-0.365677995,-0.871117956,-1.401986839,-1.326717019,1,1,1,Pineland,0,0,1,0.190885176,0.086218274,0,0,0,0,0,0,0
0,0,0.165283541,0,0,0,1,1,1,1,0.665577342,1,0,1,0,-0.479317071,-0.589662973,-0.87767631,-0.794056672,1,1,1,Freshwater Wetland,1,0,0,0.144709387,-0.78892132,1,0,1,4,0,4,2
0,0,1.825034578,1,7,3,5,1,-2,-2,-0.423747277,1,1,1,1,-0.617222102,-0.651908586,-1.088066567,-1.352329437,1,1,1,Pineland,0,0,1,0.190885176,0.236263959,2,0,1,5,0,3,3
0,0,-0.733748271,1,15,3,15,2,-1,0,0.302469136,0,0,0,0,-0.547554546,-0.808288826,-0.993168478,-1.090057705,1,1,1,Pineland,0,0,1,0.190885176,0.324461929,0,0,0,0,0,0,0
0,1,-1.286998617,0,0,0,0,0,0,0,0.302469136,0,0,1,1,2.171835536,2.876600401,0.618722226,0.359983155,0,0,0,Pineland,0,0,1,0.672844987,-0.354911168,0,0,0,0,0,0,0
0,1,0,1,5,3,8,2,-1,3,1.391793755,0,1,1,1,4.497115785,2.649585718,1.614985055,0.510834877,0,0,0,Pineland,0,0,1,1.95214479,1.341134518,1,0,1,1,0,1,1
0,1,1.064315353,1,2,1,1,1,0,-1,-0.06063907,0,1,0,0,-0.290824249,0.451263056,1.062267447,-0.972342246,0,1,1,Pineland,0,0,1,0.542426349,1.588385787,0,0,0,0,0,0,0
0,0,-1.494467497,0,0,0,0,0,0,0,0.302469136,1,0,1,1,-0.287967018,-0.257354597,-0.085217757,0.486661398,0,0,0,Pineland,0,0,1,-1.006121853,-0.261248731,0,0,0,0,0,0,0
0,0,-0.249654219,1,4,1,0,0,-1,-4,-1.149963689,1,0,1,0,-0.054830077,-0.678536875,-0.604986877,0.41874353,1,0,1,Freshwater Wetland,1,0,0,0.144709387,-1.051878173,4,0,1,15,0,9,8
0,0,0,1,8,4,1,1,-3,-7,-2.239288308,0,1,1,1,-0.460159592,-0.751175407,-1.124841596,0.680028391,1,0,1,Pineland,0,0,1,-0.802745098,0.78684264,2,1,1,7,3,4,6
0,0,-0.664591978,0,0,0,0,0,0,0,0.302469136,1,0,1,0,-0.357915825,-0.148015197,-1.196634765,-1.268478134,1,1,1,Freshwater Wetland,1,0,0,0.355747999,-0.434040609,3,0,1,9,0,4,5
0,0,-0.941217151,0,0,0,0,0,0,0,0.302469136,0,1,1,0,0.1199559,0.258647967,-0.093583717,0.052953491,0,0,0,Salt Marsh,0,1,0,-0.976632981,-1.243870558,2,1,1,4,1,3,3
0,0,-0.526279391,1,1,1,0,0,-1,-1,-0.06063907,1,1,1,0,0.145045719,0.032626984,-0.161140082,0.501225195,0,0,0,Buttonwood,0,1,0,-1.075185661,-0.956030457,1,0,1,3,0,3,2
0,0,0,1,13,3,5,2,-1,-8,-2.602396514,0,0,0,0,-0.483475707,-0.955221403,-1.1839058,-1.244162215,1,1,1,Pineland,0,0,1,0.190885176,0.699532995,0,0,0,0,0,0,0
